sample_index,id,title,assigned_theme,assigned_domain,assigned_confidence,audit_verdict,reason,suggested_fix
13,69deca034e2d2a5b77ed0172,Tradeoff between risks through ingestion of nanoparticle contaminated water or fish: Human health perspective,"Energy, Sustainability & Climate Change",Environmental Assessment & Land Use Management,0.92,correct,Human health risk tradeoffs from nanoparticle-contaminated water/fish ingestion is environmental contaminant exposure assessment.,
14,69deca074e2d2a5b77ed0bac,Indian wool - present status and future prospects,"Social Sciences, Humanities & Management",Agricultural Economics & Consumer Behavior,0.72,correct,"Sector review of Indian wool production, trade, and prospects is agricultural commodity/industry economics, not textile engineering.",
15,69deca0c4e2d2a5b77ed1a32,Bridgeless SEPIC Based Battery Charger with Wide Buck Gain and Power Decoupling Control,"Energy, Sustainability & Climate Change",Electric Vehicle Battery & Charging Systems,0.85,correct,Bridgeless SEPIC battery charger topology with power decoupling aligns with EV charger/power-electronics examples in Electric Vehicle Battery & Charging Systems.,
16,69deca0f4e2d2a5b77ed20de,Sensor reduction in a PFC-based isolated BL-SEPIC fed BLDC motor drive,Manufacturing & Industry 4.0,Electric Motor Drives & Power Electronics,0.92,correct,PFC-based BL-SEPIC fed BLDC motor drive with sensor reduction is industrial motor drive and power-electronics control.,
17,69deca0f4e2d2a5b77ed212c,Power quality event classification under noisy conditions using EMD-based de-noising techniques,Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.92,correct,Power quality event classification for grid disturbances applies signal processing to infrastructure monitoring; infrastructure application is primary per Smart Infrastructure scope.,
18,69deca0f4e2d2a5b77ed2166,DICM and DCVM of a PFC-based SEPIC-fed PMBLDCM drive,Manufacturing & Industry 4.0,Electric Motor Drives & Power Electronics,0.92,correct,PFC SEPIC-fed PMBLDC motor drive operating-mode analysis is electric motor drive design and control.,
19,69deca114e2d2a5b77ed24ba,A linear time algorithm for finding tree 3-spanner on 2 trees,"AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.95,correct,Linear-time tree 3-spanner algorithm on 2-trees is graph algorithm design and complexity.,
20,69deca124e2d2a5b77ed268b,Efficient and Generic Interactive Segmentation Framework to Correct Mispredictions During Clinical Evaluation of Medical Images,Healthcare & MedTech,Clinical AI & Medical Imaging Analytics,0.92,correct,Interactive deep-learning framework for correcting medical image segmentation during clinical evaluation is clinical AI for medical imaging.,
21,69deca134e2d2a5b77ed29a6,Vertically Integrated Dual-Memtransistor Enabled Reconfigurable Heterosynaptic Sensorimotor Networks and In-Memory Neuromorphic Computing,Quantum Technologies & Semiconductor Technology,Resistive Memory & Neuromorphic Computing,0.92,correct,Dual-memtransistor neuromorphic hardware fits Quantum Technologies theme and Resistive Memory & Neuromorphic Computing domain per taxonomy examples.,
22,69deca144e2d2a5b77ed2c5b,Modelling and analysis of supply chain dynamics: a High Intelligent Time (HIT) petri net based approach,"Social Sciences, Humanities & Management",Supply Chain & Operations Management,0.92,correct,Petri-net supply chain dynamics modeling is core Supply Chain & Operations Management under Social Sciences.,
23,69deca154e2d2a5b77ed2dee,Innovative HVAC solutions: Impact of nanoparticles and fins on PCM incorporated system for peak load management,Smart & Sustainable Infrastructure,Building Energy & Thermal Performance,0.92,correct,"PCM-enhanced HVAC peak-load management is building-level thermal/energy performance, matching Smart Infrastructure and Building Energy & Thermal Performance.",
24,69deca164e2d2a5b77ed321e,Optimal voltage control using a constant sensitivity matrix,Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.95,correct,Optimal voltage control via sensitivity matrix and load flow is textbook Power Systems & Grid Control.,
25,69deca194e2d2a5b77ed38ad,Growth of ammonium chloride dendrites from vapor phase,Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,0.72,borderline,"Advanced Materials theme fits vapor-phase crystal growth, but Organometallic & Chalcogenide Synthesis is for organometallic/chalcogenide compounds—not ammonium chloride dendrites.",Keep Advanced Materials & Devices; no ideal v2.2 domain—avoid Organometallic & Chalcogenide Synthesis.
26,69deca1a4e2d2a5b77ed3b6f,Data-driven trajectory quality improvement for promoting intelligent vessel traffic services in 6g-enabled maritime iot systems,Next-Gen Communication,Wireless Network Access & Resource Allocation,0.72,borderline,Maritime AIS trajectory-quality ML sits at the intersection of 6G maritime IoT (Next-Gen Communication) and intelligent vessel traffic services (Transportation). Wireless Network Access & Resource Allocation is a weak domain fit for trajectory-quality analytics.,Smart & Sustainable Infrastructure / Transportation Systems & Traffic Management OR Next-Gen Communication with a data-analytics-oriented domain.
27,69deca1a4e2d2a5b77ed3b7f,Joint Transmit Precoding and Reflect Beamforming for IRS-Assisted MIMO-OFDM Secure Communications,Next-Gen Communication,"Signal Modulation, Detection & Channel Equalization",0.85,correct,"IRS-assisted MIMO-OFDM precoding/beamforming for physical-layer security aligns with Next-Gen Communication and Signal Modulation, Detection & Channel Equalization.",
28,69deca1a4e2d2a5b77ed3bbf,Edge Computing-Based Security Framework for Big Data Analytics in VANETs,Smart & Sustainable Infrastructure,Transportation Systems & Traffic Management,0.72,incorrect,"Primary contribution is an edge-computing security framework for VANET big-data analytics, not traffic flow modeling or transportation network optimization.",Next-Gen Communication / Wireless Network Access & Resource Allocation (or unclassifiable if security-framework focus dominates).
29,69deca1c4e2d2a5b77ed3e43,Abrasive wear performance of various polyamides,Manufacturing & Industry 4.0,Tribology & Bearing Performance,0.75,correct,Abrasive wear characterization of polyamides under controlled tribological testing fits Manufacturing theme and Tribology & Bearing Performance.,
30,69deca1c4e2d2a5b77ed3fb0,Novel Non-Invasive Radiomic Signature on CT Scans Predicts Response to Platinum-Based Chemotherapy and Is Prognostic of Overall Survival in Small Cell Lung Cancer,Healthcare & MedTech,Clinical Diagnostics & Biomarkers,0.92,correct,CT radiomic biomarker for chemotherapy response/prognosis in SCLC is Clinical Diagnostics & Biomarkers under Healthcare.,
31,69deca1c4e2d2a5b77ed3fdf,A radiologist’s guide to the changing treatment paradigm of advanced non–small cell lung cancer: The ASCO 2018 molecular testing guidelines and targeted therapies,Healthcare & MedTech,Clinical AI & Medical Imaging Analytics,0.92,borderline,"Healthcare theme is correct, but the paper is a radiologist clinical review/guide on imaging and targeted therapy—not an AI/ML imaging analytics method.",Healthcare & MedTech / Clinical Diagnostics & Biomarkers.
32,69deca1d4e2d2a5b77ed4194,Polypyrrole-polyvinyl sulphonate film based disposable nucleic acid biosensor,Healthcare & MedTech,Clinical Biosensors & Implant Bioelectronics,0.72,incorrect,"Disposable nucleic-acid biosensor for pesticide detection is environmental/analytical sensing, not clinical healthcare or implant bioelectronics.",Advanced Materials & Devices / Bio-based Materials & Polymers or Quantum Technologies / Plasmonic & Fiber Optic Sensors.
33,69deca1f4e2d2a5b77ed47a8,Rotor machine variables and yarn structure: Part IV-Influence of machine variables on configuration of neps and thick places of polyester rotor yarn,Manufacturing & Industry 4.0,Textile Manufacturing & Fabric Properties,0.95,correct,Rotor spinning machine variables affecting polyester yarn neps/thick places is core Textile Manufacturing & Fabric Properties.,
34,69deca204e2d2a5b77ed4ac4,Hydrogen embrittlement mechanisms in welded metals at 15 K,Advanced Materials & Devices,Alloys & Structural Metals,0.92,correct,Hydrogen embrittlement microstructure/fracture in welded metals at cryogenic temperature is Alloys & Structural Metals materials science.,
35,69deca214e2d2a5b77ed4d77,Influence of secondary flow on diffusion with heterogeneous reaction,"AI/ML, Supercomputing & Quantum Computing",Computational Fluid Dynamics & Flow Analysis,0.92,correct,Numerical simulation of curved-tube transport with heterogeneous reaction is CFD under AI/ML theme per taxonomy routing.,
36,69deca264e2d2a5b77ed58c4,Feasibility and design studies for heat recovery from a refrigeration system with a canopus heat exchanger,"Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems,0.72,borderline,"Energy theme is reasonable for refrigeration heat-recovery design, but Solar Thermal Energy & Heat Transfer Systems is defined for solar collectors—not vapor-compression heat recovery.","Energy theme with a general heat-transfer/efficiency domain, or Smart & Sustainable Infrastructure / Building Energy if applied to building HVAC."
37,69deca264e2d2a5b77ed59e5,Bridging the gaps for business growth among Indian construction companies,"Social Sciences, Humanities & Management",Supply Chain & Operations Management,0.85,incorrect,"Survey of business growth enablers and competitive capabilities in Indian construction firms is strategic/organizational management, not supply chain coordination or logistics.","Social Sciences, Humanities & Management / Digital Transformation & IT Applications or Development Economics & Social Welfare."
38,69deca284e2d2a5b77ed5cd6,Effect of rotary inertia and gyroscopic moments on dynamics of two spool aeroengine rotor,Manufacturing & Industry 4.0,Rotor Dynamics & Vibration Analysis,0.95,correct,Aeroengine rotor critical speeds/unbalance with gyroscopic and inertial effects is Rotor Dynamics & Vibration Analysis.,
39,69deca284e2d2a5b77ed5d8c,Cardiovagal baroreflex sensitivity in parkinson’s disease and multiple-system atrophy,Healthcare & MedTech,Neuroscience & Neurophysiology,0.92,correct,Baroreflex/cardiovagal assessment to differentiate Parkinson's disease vs MSA is clinical Neuroscience & Neurophysiology.,
40,69deca284e2d2a5b77ed5e3c,Insights into metallurgical processes for sustainable recovery of metals from electronic waste,Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",0.72,correct,"Metallurgical recovery processes for e-waste metal separation align with Manufacturing materials-processing/recycling under Materials, Joining & Mechanical Behavior.",
41,69deca2a4e2d2a5b77ed61d6,Measurement of Thermal Resistance of Woven Fabrics in Natural and Forced Convections,Manufacturing & Industry 4.0,Textile Manufacturing & Fabric Properties,0.85,correct,Experimental thermal-resistance measurement and modeling of woven-fabric constructional parameters is core textile fabric property characterization under Manufacturing.,
42,69deca2a4e2d2a5b77ed62f2,On-the-fly machine learning force fields for alkali silicate glasses,"AI/ML, Supercomputing & Quantum Computing",Machine Learning & Neural Networks,0.92,correct,Transferable on-the-fly ML force fields for molecular dynamics is a machine-learning methodology contribution; AI/ML theme and Machine Learning & Neural Networks domain fit per tie-break when the learning method is primary.,
43,69deca2b4e2d2a5b77ed64d7,Antioxidant activity of organic and aqueous leaf extracts of Cassia occidentalis L. in relation to their phenolic content,Advanced Materials & Devices,Bio-based Materials & Polymers,0.72,borderline,Antioxidant/phenolic characterization of plant leaf extracts is phytochemistry/natural-product analysis; Advanced Materials / Bio-based Materials & Polymers is a stretch because no polymer or engineered biomaterial is developed.,No ideal v2.2 home—consider unclassifiable or a phytochemistry gap; Healthcare only if clinical therapeutic framing is explicit.
44,69deca2c4e2d2a5b77ed6686,Demonstration of Microstrip Sensor for the Feasibility Study of Non-invasive Blood-Glucose Sensing,Healthcare & MedTech,Clinical Biosensors & Implant Bioelectronics,0.92,correct,Microstrip sensor demonstrated for non-invasive blood-glucose sensing is a clinical diagnostic biosensing platform; Healthcare / Clinical Biosensors & Implant Bioelectronics is appropriate despite RF hardware content.,
45,69deca2e4e2d2a5b77ed6a48,Application of an adaptive neuro-fuzzy system for the prediction of cotton yarn strength from HVI fibre properties,Manufacturing & Industry 4.0,Textile Manufacturing & Fabric Properties,0.92,correct,Neuro-fuzzy prediction of cotton yarn strength from HVI fibre properties is textile production quality modeling—Textile Manufacturing & Fabric Properties under Manufacturing.,
46,69deca2e4e2d2a5b77ed6b0e,Exploiting Nanoelectronic Properties of Memory Chips for Prevention of IC-Counterfeiting,Quantum Technologies & Semiconductor Technology,Resistive Memory & Neuromorphic Computing,0.72,correct,Exploiting intrinsic NVM chip latency/variability signatures for IC anti-counterfeiting is device-level non-volatile memory characterization—Resistive Memory & Neuromorphic Computing under Quantum Technologies.,
47,69deca2f4e2d2a5b77ed6cc5,Effect of collector type on the morphology of polycaprolactone-carbon nanotube based nanocomposite nanofibre,Advanced Materials & Devices,Polymer Nanocomposites & Blends,0.92,correct,Electrospun PCL-CNT nanocomposite nanofibre morphology/alignment study is materials synthesis and nanocomposite characterization; Advanced Materials / Polymer Nanocomposites & Blends fits the primary contribution.,
48,69deca314e2d2a5b77ed701d,A Three-Coil Setup for Controlled Divergence in Magnetic Nozzle,Next-Gen Communication,Plasma-Wave & Electromagnetic Interactions,0.72,incorrect,"Three-coil magnetic-nozzle setup for controlled plasma-beam divergence is space-propulsion / magnetized-plasma engineering, not nonlinear EM-wave/laser-plasma interaction covered by Plasma-Wave & Electromagnetic Interactions.",out_of_scope: space plasma propulsion / magnetic nozzle (no taxonomy slot)
49,69deca314e2d2a5b77ed7075,ALLOCATION OF MULTI-PORT MEMORIES IN DATA PATH SYNTHESIS.,"AI/ML, Supercomputing & Quantum Computing",Computer Architecture & Systems,0.92,correct,Multi-port memory allocation in data-path synthesis is register-file / memory-hierarchy microarchitecture—Computer Architecture & Systems per v2.2 tie-break.,
50,69deca314e2d2a5b77ed7133,Liquefaction behaviour of loose and compacted pond ash,Smart & Sustainable Infrastructure,Geotechnical Engineering & Soil Mechanics,0.92,correct,Liquefaction of loose and compacted pond ash under cyclic loading is laboratory geotechnical soil mechanics—Geotechnical Engineering & Soil Mechanics under Smart & Sustainable Infrastructure.,
51,69deca334e2d2a5b77ed7550,Deciphering Interfacial Dzyaloshinskii-Moriya Interaction in Transition-Metal Dichalcogenide/Permalloy Heterostructures by Brillouin Light Scattering and First-Principles Calculations,Quantum Technologies & Semiconductor Technology,Spintronics & Magnetic Devices,0.92,correct,DMI characterization in TMD/permalloy heterostructures via BLS and DFT is core spintronic device physics—Spintronics & Magnetic Devices.,
52,69deca334e2d2a5b77ed757b,Large spin Hall angle in β-tungsten thin films stabilized on CoFeB,Quantum Technologies & Semiconductor Technology,Spintronics & Magnetic Devices,0.95,correct,Spin Hall effect in beta-W thin films for magnetization control is textbook spintronics materials/device work.,
53,69deca344e2d2a5b77ed7827,G-Parameter based stability analysis of DC-DC power electronic system,Manufacturing & Industry 4.0,Electric Motor Drives & Power Electronics,0.75,correct,G-parameter stability analysis of cascaded DC-DC converters is industrial power-electronics design—Electric Motor Drives & Power Electronics under Manufacturing.,
54,69deca344e2d2a5b77ed786d,Design of PWM based armature voltage control of DC motor drive,Manufacturing & Industry 4.0,Electric Motor Drives & Power Electronics,0.72,correct,PWM armature-voltage control with rheostatic braking for a DC motor drive is electric motor drive and power-electronics control—Electric Motor Drives & Power Electronics.,
55,69deca344e2d2a5b77ed7931,Experimental investigation on the development of hybrid composite metal foam reinforced with steel hollow spheres for higher energy absorption applications,Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",0.75,correct,Development and compressive testing of hybrid composite metal foam for energy absorption emphasizes fabrication and mechanical behavior under manufacturing-oriented materials processing.,
56,69deca354e2d2a5b77ed79a9,Effects of lateral stratification on the dynamics of turbulent impinging line fountains,"AI/ML, Supercomputing & Quantum Computing",Computational Fluid Dynamics & Flow Analysis,0.95,correct,LES/PIV study of turbulent impinging line fountains with stratification is computational and experimental fluid mechanics—Computational Fluid Dynamics & Flow Analysis.,
57,69deca384e2d2a5b77ed7d89,Preparation and low field magnetoresistance of double layered manganite La1.4Ca1.6Mn2O7,Advanced Materials & Devices,Ferroelectric & Magnetic Ceramics,0.92,correct,Synthesis and low-field magnetoresistance of layered manganite La1.4Ca1.6Mn2O7 is magnetic ceramic materials science—Ferroelectric & Magnetic Ceramics.,
58,69deca3a4e2d2a5b77ed81c5,"Microplastic pollution in surface waters: assessment, policy and remediation frameworks","Energy, Sustainability & Climate Change",Environmental Assessment & Land Use Management,0.92,borderline,"Surface-water microplastic pollution with environmental assessment and remediation fits Environmental Assessment & Land Use Management, but similar aqueous microplastic monitoring papers in v2.2 validation also map to Smart Infrastructure / Water Quality & Wastewater Management.",theme=Smart & Sustainable Infrastructure; domain=Water Quality & Wastewater Management
59,69deca3c4e2d2a5b77ed85a9,Anaerobic co-digestion of rice straw and de-oiled rice bran for biomethane production,"Energy, Sustainability & Climate Change",Biomass & Biofuel Technologies,0.95,correct,Anaerobic co-digestion of rice straw and de-oiled rice bran for biomethane is core biomass-to-bioenergy conversion—Biomass & Biofuel Technologies.,
60,69deca3c4e2d2a5b77ed863f,Factors affecting CO2 and CH4 separation during biogas upgrading in a water scrubbing process,"Energy, Sustainability & Climate Change",Carbon Utilization & Chemical Conversion,0.75,borderline,"Water-scrubbing CO2-CH4 separation for biogas upgrading is biogas purification/process engineering; Biomass & Biofuel Technologies is a closer domain than Carbon Utilization & Chemical Conversion, which emphasizes catalytic CO2/biomass conversion.","theme=Energy, Sustainability & Climate Change; domain=Biomass & Biofuel Technologies"
61,69deca3e4e2d2a5b77ed8a2d,Characterization of DNA binding and ligand binding properties of the TetR family protein involved in regulation of dsz operon in Gordonia sp. IITR100,Healthcare & MedTech,Cellular & Molecular Biology,0.75,incorrect,"Molecular characterization of a bacterial TetR regulator for the dsz biodesulfurization operon in Gordonia is industrial/environmental microbiology, not human disease mechanisms or clinical medtech.",theme=Manufacturing & Industry 4.0; domain=Biomanufacturing & Fermentation Processes
62,69deca3f4e2d2a5b77ed8b95,Conversion of a basis-dependent superposition of orbital-angular-momentum states using a q plate,Quantum Technologies & Semiconductor Technology,Structured Light & Polarization Engineering,0.92,correct,q-plate manipulation of OAM superposition states is core structured-light and polarization engineering under the Quantum Technologies theme.,
63,69deca424e2d2a5b77ed9274,A multidimensional urban transport equity assessment framework: A case of Mumbai,"Social Sciences, Humanities & Management",Development Economics & Social Welfare,0.92,correct,Justice-theory-based equity assessment of urban transport impacts on vulnerable populations fits development economics and social welfare policy analysis.,
64,69deca444e2d2a5b77ed964d,Prediction of flow stress for carbon steels using recurrent self-organizing neuro fuzzy networks,Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",0.85,correct,Flow-stress prediction under metal-forming deformation conditions is manufacturing-oriented material mechanical behavior; the ML model is secondary to the forming application.,
65,69deca444e2d2a5b77ed975c,Structural-property relationship of nanocrystalline diamond films and its applications,Advanced Materials & Devices,Ion Beam & Thin Film Engineering,0.75,correct,MPECVD synthesis and characterization of nanocrystalline diamond thin films with structure-property analysis matches thin-film materials engineering (CVD is in-domain).,
66,69deca454e2d2a5b77ed987c,"Asymmetric 1,2-diaxial synthesis of bi-(hetero)aryl benzofulvene atropisomers via transient directing group-assisted dehydrogenative coupling",Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,0.75,borderline,Primary contribution is synthetic organic/medicinal-chemistry methodology for atropisomers; Advanced Materials is a stretch and the domain over-emphasizes organometallic material platforms over organic synthesis.,theme=Advanced Materials & Devices; domain=Organometallic & Chalcogenide Synthesis; Acceptable if atropisomers are treated as functional material scaffolds; otherwise unclassifiable pure organic synthesis.
67,69deca454e2d2a5b77ed9991,The spectrum and clinical correlates of electrodiagnostic abnormalities in acute organophosphorus poisoning. A study of 55 patients,Healthcare & MedTech,Clinical Diagnostics & Biomarkers,0.92,correct,Clinical electrodiagnostic correlation with poisoning severity in patients is diagnostic biomarker/clinical assessment work.,
68,69deca464e2d2a5b77ed9c9b,ACD codes over Z2R and the MacWilliams identities,"AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.85,correct,Additive complementary dual codes and MacWilliams identities are coding-theory contributions squarely in algorithms and computational complexity.,
69,69deca474e2d2a5b77ed9fe4,Effect of samarium modification on structural and dielectric properties of (PbSm)(ZrSnTi)O3 system,Advanced Materials & Devices,Ferroelectric & Magnetic Ceramics,0.95,correct,Solid-state synthesis and dielectric/structural characterization of modified PZT ceramics is classic ferroelectric ceramic materials research.,
70,69deca474e2d2a5b77eda00c,The effect of swift heavy ion irradiation on quasicrystals,Advanced Materials & Devices,Ion Beam & Thin Film Engineering,0.92,correct,Swift heavy-ion irradiation modifying quasicrystal structure and electronic properties is ion-beam materials modification.,
71,69deca484e2d2a5b77eda257,DENSITY PERTURBATION by ALFVÉN WAVES in MAGNETO-PLASMA,Next-Gen Communication,Plasma-Wave & Electromagnetic Interactions,0.92,correct,Nonlinear Alfvén-wave density perturbations in magnetized plasma are core plasma-wave physics in the Next-Gen Communication scope.,
72,69deca484e2d2a5b77eda26c,Numerical study of density cavitations by inertial Alfvén waves,Next-Gen Communication,Plasma-Wave & Electromagnetic Interactions,0.92,correct,Numerical modeling of inertial Alfvén-wave density cavitation is plasma-wave electromagnetic interaction research.,
73,69deca4b4e2d2a5b77edaabf,A Framework to Utilize DERs' VAR Resources to Support the Grid in an Integrated T-D System,Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.92,correct,Coordinating distributed energy resources for grid VAR support in integrated transmission-distribution systems is power-systems control.,
74,69deca4b4e2d2a5b77edaac3,Impact assessment and sensitivity analysis of distribution systems with DG,Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.92,correct,Steady-state impact and sensitivity analysis of DG integration in distribution networks is distribution power-system analysis.,
75,69deca504e2d2a5b77edb59f,Laboratory Investigation on Performance of Soil–Cement Columns Under Axisymmetric Condition,Smart & Sustainable Infrastructure,Geotechnical Engineering & Soil Mechanics,0.95,correct,Laboratory model tests of soil-cement column ground improvement and failure modes are geotechnical engineering.,
76,69deca514e2d2a5b77edb794,Characterization of a Collection of Colored Lentil Genetic Resources Using a Novel Computer Vision Approach,"AI/ML, Supercomputing & Quantum Computing",Machine Learning & Neural Networks,0.72,correct,"The stated novelty is a computer-vision/ML method for automated genetic-resource characterization; per taxonomy tie-break, algorithmic advance routes to AI/ML even though the application is agricultural.",
77,69deca524e2d2a5b77edba70,Solution aggregationn of anti-trypanosomal N-(2-napthylmethyl)ated polymines,Healthcare & MedTech,Drug Delivery & Molecular Therapeutics,0.78,correct,Design and evaluation of anti-trypanosomal polyamine drug candidates targeting trypanothione reductase is molecular therapeutics.,
78,69deca534e2d2a5b77edbc9d,pH induced size tuning of Gd2Hf2O7:Eu3+ nanoparticles and its effect on their UV and X-ray excited luminescence,Advanced Materials & Devices,Rare-Earth Doped Luminescent Materials,0.95,correct,"Synthesis, size tuning, and photoluminescence/radioluminescence of Eu³⁺-doped phosphor nanoparticles fits rare-earth luminescent materials.",
79,69deca534e2d2a5b77edbdd2,Characterization of detergent compatible protease of a halophilic Bacillus sp. EMB9: Differential role of metal ions in stability and activity,Healthcare & MedTech,Biopharmaceutical Manufacturing & Quality,0.6,incorrect,"Industrial/detergent-compatible protease characterization for stain removal is general enzyme biochemistry, not biopharmaceutical PAT/QC for mAbs, biosimilars, or recombinant protein products.",theme=Manufacturing & Industry 4.0; domain=Biomanufacturing & Fermentation Processes
80,69deca554e2d2a5b77edc203,"Lattice theory of second- and third-order elastic constants of aluminum, copper, and nickel",Advanced Materials & Devices,Alloys & Structural Metals,0.75,correct,Lattice-theoretic derivation of elastic constants for FCC metals is fundamental structural-metals materials science.,
81,69deca554e2d2a5b77edc2c1,(title unavailable; DR-LPFG gold-coated fiber SPR biomolecule sensor),Quantum Technologies & Semiconductor Technology,Plasmonic & Fiber Optic Sensors,0.92,correct,Fiber long-period grating with gold coating exploiting surface plasmon resonance for biomolecule detection is a canonical plasmonic/fiber-optic sensor device paper.,
82,69deca554e2d2a5b77edc2ee,(title unavailable; Si-SiO2 waveguide Bragg-grating biochemical sensor),Quantum Technologies & Semiconductor Technology,Fiber Photonic Devices & Engineering,0.85,borderline,Theme is correct. Waveguide Bragg-grating biochemical sensing could fit Fiber Photonic Devices (device engineering) or Plasmonic & Fiber Optic Sensors (taxonomy examples include LPFG bio-chemical sensors). Both are defensible; current domain is acceptable but not uniquely best.,Plasmonic & Fiber Optic Sensors (optional refinement)
83,69deca554e2d2a5b77edc33b,Solar desorption of absorbent solutions,"Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems,0.92,correct,Solar thermal collector system for desorption/humidity control is core solar-thermal heat-transfer engineering.,
