"id","confidence","source_model","escalated","thematic_area","domain","title","abstract","reason","human_verdict"
"69dec9fc4e2d2a5b77ecf237","0.15","sonnet","True","Energy, Sustainability & Climate Change","Monsoon Dynamics & Regional Climate Modeling","Role of distribution function on characteristic properties of supernova matter","Supernova matter consisting of protons, neutrons and electrons with proton fraction y<inf>p</inf> = 0.3 are studied within finite temperature BruecknerGoldstone approach with effective two-body Sussex interaction for various values of densities and at temperatures T = 5, 7 and 10 MeV. It is found that at a given density, temperature and proton fraction, the entropy production, internal energy per nucleon, free energy per nucleon and pressure generated by protons and electrons are not equal. Entr...","This paper concerns fundamental nuclear astrophysics (equation of state of dense matter at supernova conditions) using many-body theory, which does not fit any domain in the taxonomy; assigned to the least-distant theme but this is a forced classification of out-of-scope physics research.",""
"69dec9fc4e2d2a5b77ecf23a","0.15","sonnet","True","Energy, Sustainability & Climate Change","Monsoon Dynamics & Regional Climate Modeling","J/ψ and ηc masses in isospin asymmetric hot nuclear matter: A QCD sum rule approach","We study the in-medium masses of the charmonium states J/ψ and η<inf>c</inf> in the nuclear medium using the QCD sum rule approach. These mass modifications arise owing to modifications of the scalar and the twist-2 gluon condensates in the hot hadronic matter. The scalar gluon condensate 〈α<inf>s</inf>/π G<inf>μν</inf><sup>a</sup> G<sup>aμν</sup>〉 and the twist-2 tensorial gluon operator 〈α<inf>s</inf>/π G<inf>μσ</inf><sup>a</sup> G<sup>a</sup><inf>ν</inf><sup>σ</sup>) in the nuclear medium are...","This theoretical nuclear/particle physics paper on QCD sum rules for charmonium masses in hot nuclear matter does not fit the provided taxonomy, which lacks domains for fundamental theoretical physics; assigned to the least-mismatched available option with very low confidence.",""
"69dec9fc4e2d2a5b77ecf245","0.15","sonnet","True","Advanced Materials & Devices","Composite & Laminate Structures","Isospin dependent kaon and antikaon optical potentials in dense hadronic matter","Isospin effects on the optical potentials of kaons and antikaons in dense hadronic matter are investigated using a chiral SU(3) model. These effects are important for asymmetric heavy-ion collision experiments. In the present work, the dispersion relations are derived for kaons and antikaons, compatible with the low-energy scattering data, within our model approach. The relations result from the kaonic interactions with the nucleons, vector mesons, and scalar mesons in the asymmetric nuclear mat...","This paper on nuclear/particle physics (kaon optical potentials, hadronic matter interactions, chiral SU(3) models for heavy-ion collisions) does not fit any of the nine defined themes, which focus on AI/ML, materials engineering, energy systems, healthcare, manufacturing, communications, quantum/semiconductor devices, infrastructure, and social sciences; assigning to closest domain by default but this is genuinely outside the taxonomy scope.",""
"69dec9fc4e2d2a5b77ecf24a","0.15","sonnet","True","Advanced Materials & Devices","Organometallic & Chalcogenide Synthesis","Dilepton emission rates from hot hadronic matter","The vacuum polarization effects from the nucleon sector lead to large medium modifications of the vector meson masses in the Walecka model. With a quantum hadrodynamic framework including the quantum effects, and using a quasiparticle description for quark gluon plasma, the dilepton emission rate from the hot and dense matter resulting from relativistic nuclear collisions is calculated. Using a model for the fireball evolution which has been shown to reproduce other observables such as charmoniu...","This paper addresses theoretical nuclear/particle physics (dilepton emission from quark-gluon plasma and hadronic matter in relativistic heavy-ion collisions), which does not fit any of the nine predefined thematic areas focused on applied research, engineering, materials science, and social sciences; forcing classification into the closest materials domain yields very low confidence.",""
"69dec9fc4e2d2a5b77ecf24e","0.15","sonnet","True","Advanced Materials & Devices","Organometallic & Chalcogenide Synthesis","In-medium vector meson masses in a chiral SU(3) model","A significant drop of the vector meson masses in nuclear matter is observed in a chiral SU(3) model due to the effects of the baryon Dirac sea. This is taken into account through the summation of baryonic tadpole diagrams in the relativistic Hartree approximation. The appreciable decrease of the in-medium vector meson masses is due to the vacuum polarization effects from the nucleon sector and is not observed in the mean field approximation.","This theoretical nuclear/particle physics study of vector meson mass modifications in nuclear matter via chiral models and vacuum polarization does not fit cleanly into any provided theme; it is fundamental physics research outside the taxonomy scope, but forced assignment goes to materials discovery as the least poor fit.",""
"69dec9fc4e2d2a5b77ecf254","0.15","sonnet","True","Energy, Sustainability & Climate Change","Next-Generation Photovoltaic Materials","Quantum vacuum in hot nuclear matter: A non-perturbative treatment","We derive the equation of state for hot nuclear matter using the Walecka model in a non-perturbative formalism. We include here the vacuum polarization effects arising from the nucleon and scalar mesons through a realignment of the vacuum. A ground state structure with baryon-antibaryon condensates yields the results obtained through the relativistic Hartree approximation of summing baryonic tadpole diagrams. Generalization of such a state to include the quantum effects for the scalar meson fiel...","This paper on quantum field theory treatment of hot nuclear matter, vacuum polarization, and phase transitions in nuclear physics does not fit well within the provided taxonomy, which lacks a nuclear/particle physics theme; the closest technical match by superficial keyword overlap would be quantum-related themes, but the contribution is neither quantum computing algorithms (AI/ML theme) nor quantum devices (Quantum Technologies theme), making this a forced classification into an inappropriate category.",""
"69dec9fc4e2d2a5b77ecf259","0.15","sonnet","True","Advanced Materials & Devices","Organometallic & Chalcogenide Synthesis","Hot nuclear matter in the quark meson coupling model","We study here hot nuclear matter in the quark meson coupling model which incorporates explicitly quark degrees of freedom, with quarks coupled to scalar and vector mesons. The equation of state of nuclear matter including the composite nature of the nucleons is calculated at finite temperatures. The calculations are done taking into account the medium-dependent bag constant. Nucleon properties at finite temperatures as calculated here are found to be appreciably different from the value at [Form...","This paper concerns hot nuclear matter and quark meson coupling at finite temperatures, which is fundamental nuclear/particle physics research not matching any of the 9 prescribed thematic areas; forced assignment to the closest available domain with very low confidence.",""
"69dec9fc4e2d2a5b77ecf25c","0.15","sonnet","True","Advanced Materials & Devices","Organometallic & Chalcogenide Synthesis","Gluon condensates, quark matter equation of state and quark stars","We consider here quark matter equation of state including strange quarks and taking into account a nontrivial vacuum structure for QCD with gluon condensates. The parameters of condendsate function are determined from minimisation of the thermodynamic potential. The scale parameter of the gluon condensates is fixed from the SVZ parameter in the context of QCD sum rules at zero temperature and zero baryon density. The equation of state for strange matter at zero temperature as derived is used to...","This paper concerns quantum chromodynamics (QCD) vacuum structure, quark matter thermodynamics, and astrophysical compact objects—topics in theoretical nuclear/particle physics and astrophysics that fall outside the provided taxonomy's nine thematic areas, making proper classification impossible within the given schema.",""
"69dec9fc4e2d2a5b77ecf25d","0.15","sonnet","True","Advanced Materials & Devices","Organometallic & Chalcogenide Synthesis","Gluon condensates, chiral symmetry breaking and pion wave-function","We consider here chiral symmetry breaking in quantum chromodynamics arising from gluon condensates in vacuum. Through coherent states of gluons simulating a mean field type of approximation, we show that the off-shell gluon condensates of vacuum generate a mass-like contribution for the quarks, giving rise to chiral symmetry breaking. We next note that spontaneous breaking of global chiral symmetry links the four component quark field operator to the pion wave function. This in turn yields many...","This paper on quantum chromodynamics vacuum structure, gluon condensates, and chiral symmetry breaking in theoretical particle physics does not fit any provided thematic area; it belongs to fundamental theoretical physics which is absent from the taxonomy.",""
"69deca024e2d2a5b77ed0052","0.15","sonnet","True","Advanced Materials & Devices","Ferroelectric & Magnetic Ceramics","No evidence of reduced collectivity in Coulomb-excited Sn isotopes","In a series of Coulomb excitation experiments the first excited 2+ states in semimagic Sn112,116,118,120,122,124 isotopes were excited using a Ni58 beam at safe Coulomb energy. The B(E2; 0+→2+) values were determined with high precision (∼3%) relative to Ni58 projectile excitation. These results disagree with previously reported B(E2↑) values [A. Jungclaus, Phys. Lett. B 695, 110 (2011).PYLBAJ0370-269310.1016/j.physletb.2010.11.012] extracted from Doppler-shift attenuation lifetime measurements,...","Nuclear structure physics (Coulomb excitation, transition probabilities, isotope spectroscopy) falls outside all nine defined thematic areas; forced classification to materials domain due to lack of nuclear/particle physics theme.",""
"69deca024e2d2a5b77ed0069","0.15","sonnet","True","Advanced Materials & Devices","Rare-Earth Doped Luminescent Materials","Lifetime measurements in mass regions A=100 and A=130 as a test for chirality in nuclear systems","Two odd-odd nuclei from the A ∼ 100 and A ∼ 130 regions, namely <sup>102</sup>Rh and <sup>134</sup>Pr have been studied in search for chiral doublet bands via <sup>94</sup>Zr(<sup>11</sup>B,3n)<sup>102</sup>Rh and <sup>119</sup>Sn(<sup>19</sup>F,4n)<sup>134</sup>Pr reactions, respectively. Two nearly degenerate bands built on the πg<inf>9/2</inf> ⊗ νh<inf>11/2</inf> configuration have been identified in <sup>102</sup>Rh and on the πg<inf>11/2</inf> ⊗ νh<inf>11/2</inf> configuration for <sup>134<...","This is nuclear physics research on excited states and spin configurations in odd-odd nuclei, which does not fit any domain in the provided taxonomy focused on applied science, engineering, and technology.",""
"69deca024e2d2a5b77ed008f","0.15","sonnet","True","Quantum Technologies & Semiconductor Technology","Semiconductor Photovoltaic & Photodetection Devices","In a search for a chiral symmetry in 102Rh","Excited states in <sup>102</sup>Rh were populated in the fusion-evaporation reaction <sup>94</sup>Zr(<sup>n</sup>B, 3n)<sup>102</sup>Rh at a beam energy of 36 MeV, using the INGA spectrometer at IUAC, New Delhi. The angular correlations and the electromagnetic character of some of the γ-ray transitions observed in <sup>102</sup>Rh were investigated in detail. A new candidate for a chiral twin band was identified in <sup>102</sup>Rh for the first time.","Nuclear structure physics (chiral symmetry in excited states, gamma-ray spectroscopy, angular correlations) does not fit the fixed taxonomy; tentatively assigned to quantum devices as the least-poor match, though this is nuclear/particle physics research outside defined scope.",""
"69deca024e2d2a5b77ed0099","0.15","sonnet","True","Advanced Materials & Devices","Rare-Earth Doped Luminescent Materials","β-delayed γ-ray spectroscopy of 203,204Au and 200-202Pt","The β decay of five heavy, neutron-rich nuclei, 203<sup>,</sup>204Pt and 200<sup>-</sup>202Ir, has been investigated following relativistic cold fragmentation reactions of lead projectiles using the FRS+RISING setup at GSI. This paper reports on the study of the low-lying states in the decay daughter nuclei 203<sup>,</sup>204Au and 200<sup>-</sup>202Pt. The characteristic γ rays for each nucleus have been determined using β-delayed γ-ray spectroscopy. Tentative level schemes, relative intensitie...","Nuclear spectroscopy research studying radioactive decay and nuclear structure does not fit the provided taxonomy, which lacks a dedicated nuclear/particle physics theme; assigned to closest available domain by virtue of involving heavy-element spectroscopy, though this is a poor fit.",""
"69deca024e2d2a5b77ed009b","0.15","sonnet","True","Advanced Materials & Devices","Rare-Earth Doped Luminescent Materials","Study of Alpha Decay Chains of Superheavy Nuclei and Magic Number Beyond Z = 82 and N = 126","We study various α-decay chains on the basis of the preformed cluster decay model. Our work targets the superheavy elements, which are expected to show extra stability at shell closure. Our computations identify the following combinations of proton and neutron numbers as the most stable nuclei: Z = 112, N = 161,163; Z = 114, N = 171, 178, 179;and Z = 124, N = 194. We also investigate the alternative of heavy cluster emissions in the decay chain of <sup>301</sup>120, instead of α decay. Our study...","This nuclear physics study of superheavy element alpha decay chains and shell closure stability does not fit the provided taxonomy, which lacks a domain for nuclear structure/decay physics; assigned to closest available domain with very low confidence.",""
"69deca024e2d2a5b77ed00c8","0.15","sonnet","True","Advanced Materials & Devices","Rare-Earth Doped Luminescent Materials","Excited states in Pd99","Excited states in the Pd99 nucleus populated in the As75(Si28, p3n) fusion-evaporation reaction at E<inf>lab</inf>=120 MeV have been investigated through in-beam γ-ray spectroscopic techniques using an array of Compton-suppressed clover detectors. The level scheme is established up to excitation energy ∼11.5 MeV and spin ∼25ℏ with the addition of about 60 new transitions. The level structures observed in Pd99 have been interpreted in the framework of a microscopic theory based on the deformed Ha...","This is nuclear structure physics research on Pd-99 excited states using gamma-ray spectroscopy, which does not fit any of the nine thematic areas provided in the taxonomy—this represents a fundamental gap in the classification scheme for nuclear/particle physics research.",""
"69deca024e2d2a5b77ed00f8","0.15","sonnet","True","Advanced Materials & Devices","Rare-Earth Doped Luminescent Materials","Pre-compound neutron evaporation in low energy heavy ion fusion reactions","Inclusive and exclusive neutron evaporation spectra have been studied from the fusion reactions at 80 MeV <sup>12</sup>C on <sup>46</sup>Ti and 131 MeV <sup>31</sup>P on <sup>27</sup>Al, populating the compound nucleus <sup>58</sup>Ni at the excitation energy of 79.5 MeV but in different angular momentum ranges. The evaporation residues <sup>53</sup>Fe, <sup>55</sup>Fe and <sup>56</sup>Co were identified by their characteristic γ-rays. The measured energy spectra of evaporated neutrons were comp...","This nuclear physics paper on heavy ion fusion reactions and compound nucleus formation does not fit any domain in the provided taxonomy, which lacks nuclear/particle physics; assigned to least-mismatched domain by default.",""
"69deca024e2d2a5b77ed0106","0.15","sonnet","True","Advanced Materials & Devices","Rare-Earth Doped Luminescent Materials","Polarization measurement and Y-ray spectroscopy of Cs122","High-spin states in Cs122 have been studied via Ag107(F19, p3n)Cs122 fusion evaporation reaction at beam energy of 93 MeV. Fifteen new transitions belonging to Cs122 have been observed and placed in the level scheme. The level structure of Cs122 has been extended up to Exâ‰7 MeV and Jâ‰28â. We have performed the linear polarization measurements using the Clover detectors to assign the unknown spins and parities of a few bands. We have also observed a few linking transitions between negative and...","Nuclear structure and spectroscopy research on Cs122 isotope does not fit the defined taxonomy focused on applied research; tentatively placed in materials domain as least-poor match given no nuclear physics theme exists.",""
"69deca1f4e2d2a5b77ed47ea","0.15","sonnet","True","Advanced Materials & Devices","Composite & Laminate Structures","B anomalies: From warped models to colliders","We address the anomalies in the semi leptonic decays of B mesons in a warped custodial framework. Two possible solutions of lepton non-universality are discussed: A) The muon singlets couple non-universally to NP and B) The non-universality is in the coupling of lepton doublets. Both these scenarios are characterized by different predictions for rare Kaon decays. An essential feature of these solutions is that the electron contribution to the Wilson coefficients (WC) is non-vanishing, thereby of...","This paper addresses B meson decay anomalies in particle physics using warped extra-dimensional models and Z' gauge bosons, which does not fit any of the nine predefined thematic areas focused on applied research and engineering; the taxonomy lacks a high-energy physics or theoretical particle physics theme.",""
"69deca1f4e2d2a5b77ed47f1","0.15","sonnet","True","Quantum Technologies & Semiconductor Technology","Quantum Photonics & Entanglement","Looking for lepton flavor violation in supersymmetry at the LHC","We consider models of supersymmetry that can incorporate sizeable mixing between different generations of sfermions. While the mixing is constrained by the nonobservation of various flavor-changing neutral current processes, there exist regions of the SUSY parameter space where the effects of such mixing can be probed at colliders. In this work, we explore this possibility by focusing on the slepton sector. The sleptons are produced through cascade decays in direct neutralino-chargino (χ20χ1±) p...","This high-energy physics paper on supersymmetric particle searches at LHC colliders does not fit the frozen taxonomy, which lacks particle physics and experimental collider physics domains.",""
"69deca2b4e2d2a5b77ed63a9","0.15","sonnet","True","Manufacturing & Industry 4.0","Electric Motor Drives & Power Electronics","Current and future trends in embedded VLIW microprocessors applied to multimedia and signal processing","Although Very Long Instruction Word (VLIW) processors mix of performance, power consumption, flexibility and cost is a very good match for embedded systems in general and multimedia streaming ones in particular they might be adversely exposed to increasing memory latencies, code size bloat and to some extent performance scalability with increasing issue width, This paper presents two extensions for such VLIW micros that have a large potential impact when applied to the highly competitive market...","This paper on VLIW microprocessor architecture, cache coherency, and multithreading for multimedia applications does not fit well into any of the nine provided thematic areas, as there is no dedicated computer architecture or embedded systems theme; forced classification into Manufacturing based on industrial electronics application yields very low confidence.",""
"69deca3a4e2d2a5b77ed8286","0.15","sonnet","True","Social Sciences, Humanities & Management","Computational Linguistics & Language Processing","Line bundles on G-Bott-Samelson-Demazure-Hansen varieties","Let G be a semi-simple simply connected algebraic group over an algebraically closed field k of arbitrary characteristic. Let B be a Borel subgroup of G containing a maximal torus T of G. Let W be the Weyl group of G with respect to T. For an arbitrary sequence w=(s<inf>i<inf>1</inf></inf>,s<inf>i<inf>2</inf></inf>,…,s<inf>i<inf>r</inf></inf>) of simple reflections in W, let Z<inf>w</inf> be the Bott-Samelson-Demazure-Hansen variety (BSDH-variety for short) corresponding to w. Let Z<inf>w</inf>˜...","This is research in algebraic geometry (Bott-Samelson-Demazure-Hansen varieties, Picard groups, line bundles on homogeneous spaces), a core area of pure mathematics, which does not fit any of the nine available thematic areas focused on engineering, applied sciences, and social sciences.",""
"69deca424e2d2a5b77ed9259","0.15","sonnet","True","Energy, Sustainability & Climate Change","Monsoon Dynamics & Regional Climate Modeling","GW190814: On the properties of the secondary component of the binary","We show that the odds of the mass-gap (secondary) object in GW190814 being a neutron star (NS) improve if one allows for a stiff high-density equation of state (EoS) or a large spin. Since its mass is $\in (2.50,2.67) \, \mathrm{M}_{\odot }$, establishing its true nature will make it either the heaviest NS or the lightest black hole (BH), and can have far-reaching implications on NS EoS and compact object formation channels. When limiting oneself to the NS hypothesis, we deduce the secondary's p...","This astrophysics paper on neutron star/black hole properties and equation of state from gravitational wave observations does not fit any provided domain; defaulting to a low-confidence assignment as it falls outside the taxonomy scope focused on applied engineering and technology research.",""
"69deca424e2d2a5b77ed925a","0.15","sonnet","True","Energy, Sustainability & Climate Change","Monsoon Dynamics & Regional Climate Modeling","Towards mitigation of apparent tension between nuclear physics and astrophysical observations by improved modeling of neutron star matter","Observations of neutron stars (NSs) by the LIGO-Virgo and NICER collaborations have provided reasonably precise measurements of their various macroscopic properties. In this paper, we employ a Bayesian framework to combine them and place improved joint constraints on the properties of the NS equation of state (EOS). We use a hybrid EOS formulation that employs a parabolic expansion-based nuclear empirical parametrization around the nuclear saturation density augmented by a generic 3-segment piec...","This paper on neutron star equation of state using Bayesian inference of LIGO-Virgo and NICER observational data does not fit any provided domain; it belongs to astrophysics/nuclear physics which are absent from the taxonomy, so defaulting to a low-confidence assignment.",""
"69deca424e2d2a5b77ed925c","0.15","sonnet","True","Energy, Sustainability & Climate Change","Monsoon Dynamics & Regional Climate Modeling","Maximum mass of hybrid star formed via shock-induced phase transition in cold neutron stars","This paper studies the maximum mass limit of the hybrid star formed after the shock-induced phase transition of a cold neutron star. By employing hadronic and quark equation of state that satisfies the current mass bound, we use combustion adiabat conditions to find such a limit. The combustion adiabat condition results in a local or a global maximum pressure at an intermediate density range. The maximum pressure corresponds to a local or global maximum mass for the phase transformed hybrid star...","This astrophysics paper on neutron star phase transitions does not fit the fixed taxonomy, which focuses on terrestrial/applied research; assigning to the least-wrong domain as required, though this represents a fundamental limitation of the classification scheme for basic physics research.",""
"69deca424e2d2a5b77ed925f","0.15","sonnet","True","Advanced Materials & Devices","Organometallic & Chalcogenide Synthesis","Constraining the relativistic mean-field model equations of state with gravitational wave observations","The first detection of gravitational waves from the binary neutron star merger event GW170817 has started to provide important new constraints on the nuclear equation of state at high density. The tidal deformability bound of GW170817 combined with the observed two solar mass neutron star poses a serious challenge to theoretical formulations of realistic equations of state. We analyze a fully comprehensive set of relativistic nuclear mean-field theories by confronting them with the observational...","This paper concerns theoretical nuclear physics and astrophysics (equation of state, neutron stars, gravitational waves), which does not fit any of the nine predefined themes focused on engineering, materials, computing, healthcare, infrastructure, and social sciences—it is genuinely outside the taxonomy scope despite being legitimate research.",""
"69deca424e2d2a5b77ed926c","0.15","sonnet","True","Energy, Sustainability & Climate Change","Monsoon Dynamics & Regional Climate Modeling","Magnetised neutron star crusts and torsional shear modes of magnetars","We discuss outer and inner crusts of neutron stars in strong magnetic fields. Here, we demonstrate the effect of Landau quantization of electrons on the ground state properties of matter in outer and inner crusts in magnetars. This effect leads to the enhancement of the electron number density in strong magnetic fields with respect to the zero field case. For the outer crust, we adopt the magnetic Baym-Pethick-Sutherland model and obtain the sequence of nuclei and equation of state (EoS). The pr...","This paper concerns magnetar neutron star crust physics and torsional oscillations, which falls outside all nine defined themes; assigning to the closest available domain with low confidence, though the paper is actually astrophysics research on compact objects not covered by the taxonomy.",""
"69deca424e2d2a5b77ed9270","0.15","sonnet","True","Energy, Sustainability & Climate Change","Monsoon Dynamics & Regional Climate Modeling","Inner crusts of neutron stars in strongly quantizing magnetic fields","We study the ground-state properties of inner crusts of neutron stars in the presence of strong magnetic fields of ∼10<sup>17</sup>G. Nuclei coexist with a neutron gas and reside in a uniform gas of electrons in the inner crust. This problem is investigated within the Thomas-Fermi model. We extract the properties of nuclei based on the subtraction procedure of Bonche, Levit, and Vautherin. The phase space modification of electrons due to Landau quantization in the presence of strong magnetic fie...","This paper on neutron star nuclear physics and astrophysical magnetic field effects does not fit any of the nine defined thematic areas, which focus on applied research, materials, technology, and social sciences rather than fundamental astrophysics; the classification provided is a forced assignment with very low confidence.",""
