sample_index,id,title,abstract,assigned_theme,assigned_domain,assigned_confidence,audit_verdict,theme_level_ok,reason,suggested_theme,suggested_domain
11,69deca104e2d2a5b77ed23d4,Steady-state analysis of a self-controlled synchronous motor,"This paper deals with a simple mathematical model for steady-state analysis of a self-controlled synchronous motor in terms of d,q variables. The flux linkage of the damper winding is considered constant under steady-state conditions. With the input voltage to the synchronous motor and the machine equations in d,q form, torque-current and speed-current relations are developed. The computed results are given and discussed in detail for a 3 kVA, three-phase, 400 V, four-pole, inverter fed synchronous motor and it is shown that this system has the same characteristics as a conventional DC motor.",Manufacturing & Industry 4.0,Electric Motor Drives & Power Electronics,0.92,correct,yes,,,
12,69dec9fd4e2d2a5b77ecf2fc,A broadband circularly polarized Fabry Perot antenna with spatially separated superstrate area excitation for CubeSat applications,"This article describes the development of a high-gain, broadband, circularly polarized Fabry–Perot cavity (FPC) antenna for high-data-rate communication in CubeSat/SmallSat applications. In this work, the concept of spatially separated superstrate area excitation is developed for the first time in FPC antennas. This concept is then validated and applied to increase the gain and the axial ratio bandwidth of a conventional narrowband circularly polarized source patch antenna. The antenna’s design leverages independent control of polarization at different frequencies, resulting in a large overall bandwidth. The fabricated prototype antenna provides right hand circular polarization with a peak measured gain of 15.73 dBic over a common bandwidth of 1.03 GHz ranging from 7.99 GHz to 9.02 GHz. The gain variation over the bandwidth is less than 1.3 dBic. The antenna measures 80 mm × 80 mm × 21.14 mm and is simple, lightweight, easily integrable with CubeSat body, and useful for X-Band data downlink. When integrated with the metallic body of a 1U CubeSat, the simulated gain of the antenna increases to 17.23 dBic, with a peak measured gain of 16.83 dBic. A deployment method is proposed for this antenna that results in a total stowed volume of only 2.13λ<inf>o</inf> × 2.13λ<inf>o</inf> × 0.084λ<inf>o</inf> (0.38 λo3).",Next-Gen Communication,Antenna Design & RF Systems,0.95,correct,yes,,,
13,69deca594e2d2a5b77edc974,Efficient conversion of glucose to HMF using organocatalysts with dual acidic and basic functionalities - A mechanistic and experimental study,"Glucose conversion to 5-hydroxymethyl furfural (HMF) was carried out using either amino (basic), sulfonic acid (Bronsted acidic) or both the functionalities containing organocatalysts. Sulfanilic acid with both the functionalities, was found to be a promising multifunctional catalyst yielding 44% HMF. Glucose to HMF is a two-step reaction pathway comprising of (i) glucose isomerization to fructose under basic conditions (ii) fructose dehydration to HMF under acidic conditions. The overall detailed reaction mechanism was studied using density functional theory (DFT). The transformation of open chain glucose to ene-diol intermediate through Lobry de Bruyn–van Ekenstein rearrangement was found to be the rate limiting step with highest energy barrier of 25.2 kcal/mol during glucose isomerization to fructose. The heats of the reactions of two exothermic reactions namely glucose isomerization to fructose and fructose dehydration to HMF are 3.7 kcal/mol and 33.1 kcal/mol respectively.","Energy, Sustainability & Climate Change",Carbon Utilization & Chemical Conversion,0.85,correct,yes,,,
14,69deca0e4e2d2a5b77ed1eac,An Implementation of Solar PV Array Based Multifunctional EV Charger,"In this paper, a solar PV (Photo-voltaic) array based EV (Electric Vehicle) charger is proposed, which has a bi-directional flow of active and reactive powers. The proposed charger uses a solar PV array energy to charge the EV battery and to feed the grid with the remaining power. In this charger, the VSC (Voltage Source Converter) does the task of harnessing the maximum power from the solar PV array. At the time of high cost of energy, the charger has the provision to inject the battery energy into the grid to earn revenue. In addition to the active power exchange with the grid, the proposed charger also exchanges the reactive power with the grid, simultaneously. In all operating modes, the THD (Total Harmonic Distortion) of the grid current remains within the IEEE 519 standard. The proposed charger is designed for a single phase 230V, 50Hz supply and is experimentally validated in the laboratory.","Energy, Sustainability & Climate Change",Electric Vehicle Battery & Charging Systems,0.92,correct,yes,,,
15,69deca504e2d2a5b77edb52b,Interplay between hereditary and environmental factors to establish an in vitro disease model of keratoconus,"Keratoconus (KC) is a bilateral corneal dystrophy and a multifactorial, multigenic disorder with an etiology involving a strong environmental component and complex inheritance patterns. The underlying pathophysiology of KC is poorly understood because of potential crosstalk between genetic–epigenetic variants possibly triggered by the environmental factors. Here, we decode the etiopathological basis of KC using genomic, transcriptomic, proteomic and metabolic approaches. The lack of relevant models that accurately imitate this condition has been particularly limiting in terms of the effective management of KC. Tissue-engineered in vitro models of KC could address this need and generate valuable insights into its etiopathology for the establishment of disease models to accelerate drug discovery. The lack of ultrasensitive diagnostic strategies and the identification of definitive diagnostic markers are major challenges in keratoconus. management. However, understanding the etiopathology and insights into crosstalk between genetic, epigenetic, and hereditary factors could help to develop new strategies for drug discovery.",Healthcare & MedTech,Cellular & Molecular Biology,0.85,borderline,yes,In-vitro keratoconus model also fits tissue-engineering scope.,Healthcare & MedTech,Tissue Engineering & Regenerative Medicine
16,69deca0f4e2d2a5b77ed204b,A single source single phase SPV grid tied system employing 9-level ternary cascaded VSC,"This paper presents a single phase cascaded multilevel inverter for solar PV (SPV) grid interfaced systems. The proposed inverter consists of two H-bridge voltage source inverters (VSC) connected in cascade and are fed by a single solar photovoltaic array. Both the H-bridge VSC are connected to cascaded transformers, secondary windings of which are in ternary ratio such that 9 voltage levels are achieved. To control the proposed system, a simple decoupled current controller with an incremental conductance maximum power point tracking method is used. Both steady state and dynamic performance results in MATLAB Simulink are studied to verify the proposed system design and control algorithm.","Energy, Sustainability & Climate Change",Grid Integration & Smart Microgrids,0.92,correct,yes,,,
17,69deca5f4e2d2a5b77edd312,Power system frequency stabiliser for modern power systems,"Modern power system involves growing use of open channel communication in secondary frequency regulation which introduces time delay in the automatic generation control loop which may lead to system instability. This study proposes a novel power system frequency stabiliser (PSFS) which is a modified secondary controller in order to improve the system stability in the presence of large communication delays. An auxiliary signal is added to the secondary controller to provide additional damping. The gain of the controller is obtained by meta-heuristic methods. The proposed controller is first developed on a single area hydropower system and the same is then applied on the Western System Coordinating Council 3-machine, 9-bus power system. Furthermore, to show the effectiveness of the proposed PSFS in a large practical multi-area system; it is also applied to the IEEE 39-bus system. Results show that the proposed controller significantly improves the stability of a power system operating with large communication delay which is first considered as constant and then the stability improvement with the proposed PSFS in the presence of random communication delays is also shown. The PSFS performance is tested by the results obtained with MATLAB/Simulink simulations and further verified on a real-time simulator.",Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.92,correct,yes,,,
18,69deca4a4e2d2a5b77eda779,High-rate space-time coded large MIMO systems: Low-complexity detection and performance,"Large MIMO systems with tens of antennas in each communication terminal using full-rate non-orthogonal space- time block codes (STBC) from Cyclic Division Algebras (CDA) can achieve the benefits of both transmit diversity as well as high spectral efficiencies. Maximum-likelihood (ML) or near- ML decoding of these large-sized STBCs at low complexities, however, has been a challenge. In this paper, we establish that near-ML decoding of these large STBCs is possible at practically affordable low complexities. We show that the likelihood ascent search (LAS) detector, reported earlier by us for V-BLAST, is able to achieve near-ML uncoded BER performance in decoding a 32 x 32 STBC from CDA, which employs 32 transmit antennas and sends 32<sup>2</sup> = 1024 complex data symbols in 32 time slots in one STBC matrix (i.e., 32 data symbols sent per channel use). In terms of coded BER, with a 16 x 16 STBC, rate-3/4 turbo code and 4-QAM (i.e., 24 bps/Hz), the LAS detector performs close to within just about 4 dB from the theoretical MIMO capacity. Our results further show that, with LAS detection, information lossless (ILL) STBCs perform almost as good as full-diversity ILL (FD-ILL) STBCs. Such low-complexity detectors can potentially enable implementation of high spectral efficiency large MIMO systems that could be considered in wireless standards. © 2008 IEEE.",Next-Gen Communication,"Signal Modulation, Detection & Channel Equalization",0.92,correct,yes,,,
19,69deca5e4e2d2a5b77edcfa9,Development of Dedicated Lubricant for Hydrogen Fuelled Spark Ignition Engine,"Hydrocarbon based fossil fuels are being used as the main energy resource, burning of which produces carbon dioxide (CO2) and other emissions harmful to environment. Moreover, CO2 is considered as the main contributor to global warming or greenhouse effect. These are the main drivers behind the ongoing research & development in the area of alternative energy sources. Among various alternatives, Hydrogen is identified as the most promising alternative fuel. Hydrogen is the cleanest fuel having some of the most attractive features such as various methods of production from renewable energy (solar, wind, biomass etc.), from fossil fuels etc. H2 as a fuel can be used in various applications such as spark ignition engine, fuel cells etc. Hydrogen has low ignition energy and ensures easy ignition of the ultra-lean mixture with air. The flame speed of hydrogen is about five times higher than methane and gasoline which allows hydrogen fuelled IC engines to have relatively reduced cyclic variations than that of with methane and gasoline. High flame speed also helps to make the combustion closer to constant volume which enhances the thermal efficiency of hydrogen fuelled IC engine. High octane of hydrogen makes it suitable as a fuel for Spark ignition (SI) engines. Since the hydrogen combustion in spark ignition engine generates water which can interfere with the lubricant performance, different lubricant is to be developed for this purpose. In this background, the present work is aimed at the development of dedicated lubricant for hydrogen fuelled SI engine. This paper presents the various parameters required for evaluating different lubricants for hydrogen fuelled genset. Existing CNG genset has been converted into hydrogen genset. State of the art electrical load bank panel system having PLC based automation with data logging provision for accurate measurement of testing parameters is used. It is suitable to apply desirable load in a balanced manner for adequate genset loading with minimised fluctuations. Three different lubricants were evaluated with respect to emissions such as CO, HC, NOx, Particulates, fuel consumption, BSFC etc. at different loads. Loads were increased in the interval of 1kW/step upto 10 kW. Lubricants were selected based on different chemistry, composition and ash content required for hydrogen fuelled SI engine. CO, HC, particulate emissions of varying diameter are observed even in carbon-less fuel vehicle due to the combustion of lube oil in engine. This effect of lube oil was studied in detail to determine the intensity of emissions produced in the engine since hydrogen has a very less particulate emission. The life of lubricant was established as it is prone to blow-by having high moisture content.",Manufacturing & Industry 4.0,Tribology & Bearing Performance,0.72,correct,yes,,,
20,69deca274e2d2a5b77ed5b8f,3D reconstruction of unstained weakly scattering cells from a single defocused hologram,"We investigate the problem of 3D complex field reconstruction corresponding to unstained red blood cells (RBCs) with a single defocused off-axis digital hologram. The main challenge in this problem is the localization of cells to the correct axial range. While investigating the volume recovery problem for a continuous phase object like the RBC, we observe an interesting feature of the backpropagated field that it does not show a clear focusing effect. Therefore, sparsity enforcement within the iterative optimization framework using a single hologram data frame cannot effectively restrict the reconstruction to the true object volume. For phase objects, it is known that the amplitude contrast of the backpropagated object field at the focus plane is minimum. We use this information available in the recovered object field in the hologram plane to device depth-dependent weights that are proportional to the inverse of amplitude contrast. This weight function is employed in the iterative steps of the optimization algorithm to assist the object volume localization. The overall reconstruction process is performed using the mean gradient descent (MGD) framework. Experimental illustrations of 3D volume reconstruction of the healthy as well as malaria-infected RBCs are presented. A test sample of polystyrene microsphere bead is also used to validate the axial localization capability of the proposed iterative technique. The proposed methodology is simple to implement experimentally and provides an approximate tomographic solution, which is axially restricted and consistent with the object field data.",Healthcare & MedTech,Clinical Diagnostics & Biomarkers,0.72,borderline,yes,Core contribution is computational holographic reconstruction.,Healthcare & MedTech,Clinical AI & Medical Imaging Analytics
21,69deca254e2d2a5b77ed5801,Thermodynamic analysis of thermoelectric generator including influence of Thomson effect and leg geometry configuration,"To improve the power output and efficiency of the thermoelectric generator system, the variation in the thermoelectric leg configuration is another option. In this paper, the thermodynamic analysis of exoreversible thermoelectric generator including influence of Thomson effect as well as influence of leg geometry on the power output and efficiency of the device has been carried out. The modified expressions for dimensionless figure of merit, power output, irreversibilities, energy and exergy efficiency considering Thomson effect have been derived analytically. The effects of various parameters such as dimensionless temperature ratio (θ), shape parameter (R<inf>A</inf>), Thomson effect and load resistance ratio (R<inf>L</inf>/R<inf>0</inf>) on the power output, energy and exergy efficiency have been studied. The operating range for shape parameter has been found which improves the power output, energy and exergy efficiency of the device, however, the optimum operating point corresponding to maximum power output is different from that of the maximum energy and exergy efficiency. The results of this study shows that when the shape parameter is increased from 1 (flat plate TEG) to 2 (trapezoidal TEG), then the energy and exergy efficiency improve by 2.32% and 2.31% respectively with a 1.3% decrease in power output at R<inf>L</inf>/R<inf>0</inf> = 10 and θ = 0.5. This study will help in designing of the improved thermoelectric generator systems for different leg geometries.","Energy, Sustainability & Climate Change",Energy Storage Materials,0.72,incorrect,yes,"Thermoelectric performance analysis, not storage-material research.","Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems
22,69deca164e2d2a5b77ed3213,Discrete-mode automatic generation control of a two-area reheat thermal system with new area control error,"This paper deals with discrete-node automatic generation control of an interconnected reheat thermal system considering a new area control error (ACEN) based on tie-power deviation, frequency deviation, time error and inadvertent interchange. Optimum integral and proportional integral controllers using the concept of stability margin and ISE technique have been obtained with conventional ACE and new ACE, and their dynamic performances compared for a step load perturbation. Results reveal that regulator based on the new ACE concept always guarantees zero steady statetime error and inadvertent interchange unlike in the case of a controller based on conventional ACE. The settling time for tie-power and frequency deviations is however, somewhat more with the controller based on new ACE. © 1989 IEEE",Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.92,correct,yes,,,
23,69deca104e2d2a5b77ed234d,A review of three-phase improved power quality ac-dc converters,"Three-phase ac-dc converters have been developed to a matured level with improved power quality in terms of power-factor correction, reduced total harmonic distortion at input ac mains, and regulated dc output in buck, boost, buck-boost, multilevel, and multipulse modes with unidirectional and bidirectional power flow. This paper presents an exhaustive review of three-phase improved power quality ac-dc converters (IPQCs) configurations, control strategies, selection of components, comparative factors, recent trends, their suitability, and selection for specific applications. It is aimed at presenting a state of the art on the IPQC technology to researchers, designers, and application engineers dealing with three-phase ac-dc converters. A classified list of around 450 research articles on IPQCs is also appended for a quick reference.",Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.92,borderline,yes,Converter-control review leans toward power-electronics domain.,Manufacturing & Industry 4.0,Electric Motor Drives & Power Electronics
24,69dec9fe4e2d2a5b77ecf78c,Robust portfolio optimization with second order stochastic dominance constraints,"A portfolio optimization problem equipped with stochastic dominance constraints creates optimal portfolio ideal for rational and risk-averse investors. This paper proposes a robust portfolio optimization model involving second-order stochastic dominance in constraints. The input returns of the assets are considered as uncertain parameters and are varied in symmetric and bounded intervals to construct an optimal robust portfolio. Although the resulting optimization model is a linear program, it involves a large number of constraints, thereby urging us to apply the cutting plane algorithm. We experimentally examine the performance of our model on datasets drawn from S=P 500, S=P BSE 500, Nikkei 225, S=P Global 100, FTSE 100, and BOVESPA index, and compare it with the corresponding non-robust counterpart model. The optimal portfolios from the proposed model are shown to yield better performance on several performance measures, including Sharpe ratio, STARR ratio, standard deviation, worst return, violation area in SSD, value at risk, and conditional value at risk. The results demonstrate the effectiveness and efficiency of the presented robust model.","Social Sciences, Humanities & Management",International Business & Finance,0.92,correct,yes,,,
25,69deca254e2d2a5b77ed5711,Effect of structural deformation on performance of marine propeller,"Propeller geometry is very crucial for its performance and a little deviation in shape can cause changes in its hydrodynamic performance. Hydrodynamic loading causes deformation to the propeller blades, which leads to change in shape. Effect of this change of shape on hydrodynamic performance of a propeller is being studied in the present paper. A five bladed bronze propeller is chosen for the analysis. Its open water effciency was estimated for original and deformed shape. Pressure based Reynold’s Averaged Navier Stokes (RANS) equation was solved for steady, incompressible, turbulent flow through the propeller. Numerical solution was obtained using Finite Volume Method (FVM) within Ansys Fluent software. FEM based solver of ANSYS Mechanical APDL was used to make the structural calculations. Fluid-structure interaction was incorporated in an iterative manner. The study however shows very little change in its hydrodynamic performance due to the deformation of propeller blades.",Manufacturing & Industry 4.0,Rotor Dynamics & Vibration Analysis,0.72,borderline,yes,Hydrodynamic propeller study only partly matches rotor-vibration.,Manufacturing & Industry 4.0,Fluid-Particle Flow & Multiphase Systems
26,69deca654e2d2a5b77ede2cf,Validating Meteosat Second Generation and Himawari-8 Derived Solar Irradiance against Ground Measurements: Solarad AI’s Approach,"This study assesses the efficacy of the Heliosat-2 algorithm for estimating solar radiation, comparing its outputs against ground measurements across seven distinct countries: the Netherlands, Spain, Japan, Namibia, South Africa, Saudi Arabia, and India. To achieve this, the study utilizes two distinct satellite data sources—Himawari-8 for Japan and Metosat Second Generation-MSG for the rest of the countries—and spanning the time between January 2022 and April 2024. A robust methodology for determining albedo parameters specific to Heliosat-2 was developed. During cloudy days, the estimates provided by Heliosat-2 generally exceeded the ground measurements in all of the countries. Conversely, on clear days, there was a tendency for underestimation, as indicated by the median values of the mean bias (MB) across most of the countries. The Heliosat-2 model slightly underestimates daily radiation values, with a median MB ranging from −27.5 to +10.2 W·m<sup>−2</sup>. Notably, the median root mean square error (RMSE) on clear days is significantly lower, with values ranging from 24.8 to 108.7 W·m<sup>−2</sup>, compared to cloudy days, for which RMSE values lie between 75.3 and 180.2 W·m<sup>−2</sup>. In terms of R<sup>2</sup> values, both satellites show strong correlations between the estimated and actual values, with a median value consistently above 0.86 on a monthly scale and over 92% of daily data points falling within ±2 standard deviations.","Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems,0.72,borderline,yes,Satellite irradiance validation is closer to remote-sensing assessment.,"Energy, Sustainability & Climate Change",Environmental Assessment & Land Use Management
