rank,domain,theme,count,pct_of_classified
63,Agricultural Economics & Consumer Behavior,"Social Sciences, Humanities & Management",432,0.6345
64,Building Energy & Thermal Performance,Smart & Sustainable Infrastructure,420,0.6168
65,Hydrology & Water Resources Management,Smart & Sustainable Infrastructure,383,0.5625
66,Cultural Studies & Ethnography,"Social Sciences, Humanities & Management",376,0.5522
67,International Business & Finance,"Social Sciences, Humanities & Management",309,0.4538
68,Cooperative & Relay Networks,Next-Gen Communication,305,0.4479
69,Social Media Analytics & Online Networks,"Social Sciences, Humanities & Management",272,0.3995
70,Free Space Optical Communication,Next-Gen Communication,267,0.3921
71,Advanced Surface Finishing & Processing,Manufacturing & Industry 4.0,261,0.3833
72,Resistive Memory & Neuromorphic Computing,Quantum Technologies & Semiconductor Technology,257,0.3774
73,Direction of Arrival & Beamforming,Next-Gen Communication,233,0.3422
74,Computational Linguistics & Language Processing,"Social Sciences, Humanities & Management",232,0.3407
75,Library Science & Information Management,"Social Sciences, Humanities & Management",231,0.3393
76,Microwave Photonic Systems,Next-Gen Communication,215,0.3158
77,Neuroscience & Neurophysiology,Healthcare & MedTech,176,0.2585
