id,title,abstract,current_theme,current_domain,confidence,source_model,sonnet_theme,sonnet_domain,agree_theme,agree_domain,human_theme,human_domain,human_notes
69deca434e2d2a5b77ed9638,Journey to implement Toyota production system – a case study,The paper presents the initiative taken by leading automobile Original Equipment Manufacturer &lpar;oem&rpar; XYZ in India for their implementation of Toyota Production System &lpar;TPS&rpar; to meet competitor&rsquo;s challenge and its efforts to benchmark against its principle located in Japan. The paper deals with a programme involving vendor upgradation and related TPS initiatives. The paper concludes that such efforts will definitely help XYZ to optimize its productivity and to meet competi,"Social Sciences, Humanities & Management",Supply Chain & Operations Management,0.45,sonnet,Manufacturing & Industry 4.0,Supply Chain & Operations Management (invalid for sonnet_theme),N,,,,
69deca454e2d2a5b77ed98bd,Exploring relationships between Lean 4.0 and manufacturing industry,"Purpose: Over the past few decades, lean manufacturing has focussed on being customer-centred and now Lean 4.0 technologies have made it possible for manufacturers to have a deeper view of waste reduction. Technologies such as the internet of things, artificial intelligence, three-dimensional printing, robotics, real-time data, cloud computing, predictive analytics and augmented reality, are helpful to achieve Lean 4.0. This study aims to develop the conceptual understanding of Lean 4.0, related","Social Sciences, Humanities & Management",Supply Chain & Operations Management,0.45,sonnet,Manufacturing & Industry 4.0,Supply Chain & Operations Management (invalid for sonnet_theme),N,,,,
69deca4b4e2d2a5b77edab7a,FPGA-based smart camera system for real-time automated video surveillance,"Automated video surveillance is a rapidly evolving area and has been gaining importance in the research community in recent years due to its capabilities of performing more efficient and effective surveillance by employing smart cameras. In this article, we present the design and implementation of an FPGA-based smart camera system for automated video surveillance. The complete system is prototyped on Xilinx ML510 FPGA platform and meets the real-time requirements of video surveillance applicatio",Smart & Sustainable Infrastructure,Transportation Systems & Traffic Management,0.45,sonnet,"AI/ML, Supercomputing & Quantum Computing",Machine Learning & Neural Networks,N,N,,,
69deca4c4e2d2a5b77edac0b,Biometrics based asymmetric cryptosystem design using modified fuzzy vault scheme,We propose a novel biometrics cryptosystem where one can send and receive secure information using just the fingerprints. This cryptosystem is a judicious blend of the asymmetric cryptosystem like RSA and the symmetric Fuzzy Vault Scheme having the advantages of both the aforementioned cryptosystems. We have proposed a modification of the Fuzzy Vault Scheme to make it more robust against variations in the values of biometric features. Finally we propose the use of invariant features as a key to ,Next-Gen Communication,"Signal Modulation, Detection & Channel Equalization",0.45,sonnet,Quantum Technologies & Semiconductor Technology,Ultra-Low Voltage Analog Circuits,N,N,,,
69dec9fe4e2d2a5b77ecf5c7,Multi-hop routing of multi-terminal nets for evaluation of hybrid multi-FPGA boards,"In rapid prototyping system application, any large digital circuit can be implemented onto Multi-FPGA Board(MFB). Key MFB architectural feature is its inter-FPGA connections consisting of fixed connections(FC) i.e. FPGA-FPGA connections and programmable connections(PC) i.e. FPGA-programmable switch like FPID-FPGA. MFBs consisting of both the types of connections are known as hybrid MFBs. Since, PC requires two wires as against one wire in FC, MFB must have minimum number of PCs to keep fabricati",Quantum Technologies & Semiconductor Technology,Ultra-Low Voltage Analog Circuits,0.45,sonnet,"AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,N,N,,,
6a26bf072b6042b76389bb89,Map of Incoherent Internal Tides in the World's Oceans,"Abstract
               Moored current, temperature, and conductivity measurements are used to study the temporal variability of M2 internal tide generation above the Kaena Ridge, between the Hawaiian islands of Oahu and Kauai. The energy conversion from the barotropic to baroclinic tide measured near the ridge crest varies by a factor of 2 over the 6-month mooring deployment (0.5–1.1 W m−2). The energy flux measured just off the ridge undergoes a similar modulation as the ridge conversion. The ",Smart & Sustainable Infrastructure,Hydrology & Water Resources Management,0.42,sonnet,"Energy, Sustainability & Climate Change",Monsoon Dynamics & Regional Climate Modeling,N,N,,,
69deca5e4e2d2a5b77edd119,Parametric Optimization of Joints and Links of Space Deployable Antenna Truss Structure,"With the volcanic proliferation in high bandwidth communication, space-borne antennas are required to have Large Diameter Reflectors (LDR) of size 6 m or more which will cater to the requirements of high bandwidth data transmission. Space deployable antenna structures are a buzzword today which are required to occupy compact volume during launching due to space crunch in, state-of-the-art, contemporary launch vehicles. These compact geometric topologies are later deployable to the full configura",Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",0.42,sonnet,Smart & Sustainable Infrastructure,Structural Dynamics & Seismic Engineering,N,N,,,
69deca634e2d2a5b77eddd49,Prospecting bipartite dark matter through gravitational waves,"We explore the gravitational wave probes of a two-component dark matter framework, consisting of an SU(2) <inf>L</inf> triplet scalar and a Standard Model singlet fermion. The triplet scalar dark matter typically remains underabundant in the region below ∼ 1.9 TeV, due to the strong SU(2) <inf>L</inf> gauge mediated interactions. We introduce a second dark matter component, an SU(2) <inf>L</inf> singlet vector-like Dirac fermion, to address this deficit in the dark matter relic abundance within ","AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.35,sonnet,"Energy, Sustainability & Climate Change",Monsoon Dynamics & Regional Climate Modeling,N,N,,,
69deca294e2d2a5b77ed5fee,Assessment of bone ingrowth around beaded coated tibial implant for total ankle replacement using mechanoregulatory algorithm,"The long-term performance of porous coated tibial implants for total ankle replacement (TAR) primarily depends on the extent of bone ingrowth at the bone-implant interface. Although attempts were made for primary fixation for immediate post-operative stability, no investigation was conducted on secondary fixation. The aim of this study is to assess bone ingrowth around the porous beaded coated tibial implant for TAR using a mechanoregulatory algorithm. A realistic macroscale finite element (FE) ",Healthcare & MedTech,Biomechanics & Musculoskeletal Systems,0.92,haiku,Healthcare & MedTech,Tissue Engineering & Regenerative Medicine,Y,N,,,
69deca014e2d2a5b77ecfeb4,Understanding students’ technology acceptance behaviour: A meta-analytic study,"Students' acceptance of various technologies in their learning process has long been of interest to academics and practitioners. Amongst other models, the Technology Acceptance Model (TAM) has predominated in this area. Nevertheless, there has not been a single empirical study that has analyzed and compiled the results of all these TAM-based studies. As a result, we perform a comprehensive meta-analysis and apply Meta-Analytic Structural Equation Modelling (MASEM) for a conceptual framework to a","Social Sciences, Humanities & Management",Digital Transformation & IT Applications,0.92,haiku,"Social Sciences, Humanities & Management",Digital Culture & Consumer Experience,Y,N,,,
69deca5f4e2d2a5b77edd3f5,Shape features as biomarkers in early Parkinson's disease,"In vivo dopaminergic imaging through [123I]FP-CIT Single Photon Emission Computerized Tomography (SPECT) provide useful information which enhances the accuracy of diagnosis of PD. Such imaging techniques have given rise to new class of subjects termed scans without evidence of dopaminergic Deficit (SWEDD) subjects, who are clinically diagnosed as PD but show normal dopaminergic scans. Although it is now established that the appearance of striatal uptake patterns, as seen in the SPECT images, cha",Healthcare & MedTech,Clinical Diagnostics & Biomarkers,0.92,haiku,Healthcare & MedTech,Clinical AI & Medical Imaging Analytics,Y,N,,,
69deca324e2d2a5b77ed7471,EDF-Based edge-filter interrogation scheme for FBG sensors,"A fiber Bragg grating (FBG) sensor employing an interrogation scheme based on erbium-doped fiber (EDF) edge detection filter, with enhanced detection bandwidth and intrinsic temperature insensitivity, is proposed and experimentally demonstrated. The edge filter is based on the spectral dependence of absorption in EDF with the possibility of tailoring the absorption profile using appropriate lengths of EDF. A wide filter bandwidth of about 10 nm and a slope detection sensitivity of 1.0 dB/nm in t",Quantum Technologies & Semiconductor Technology,Fiber Photonic Devices & Engineering,0.85,haiku,Quantum Technologies & Semiconductor Technology,Plasmonic & Fiber Optic Sensors,Y,N,,,
69deca4e4e2d2a5b77edb227,A Grid-Connected Single-Phase Transformerless Inverter Controlling Two Solar PV Arrays Operating under Different Atmospheric Conditions,"A grid-connected single-phase transformerless inverter that can operate two serially connected solar photovoltaic (PV) subarrays at their respective maximum power points while each one of them is exposed to different atmospheric conditions is proposed in this paper. As two subarrays are connected in series, the number of serially connected modules within a subarray is reduced to half. Reduction in the number of serially connected PV modules within a subarray leads to an overall improvement in th","Energy, Sustainability & Climate Change",Next-Generation Photovoltaic Materials,0.75,haiku,"Energy, Sustainability & Climate Change",Grid Integration & Smart Microgrids,Y,N,,,
69deca5f4e2d2a5b77edd31c,Techno-economical analysis for PV based water pumping system under partial shading/mismatching phenomena,"Partial shading and/or mismatching phenomena in Photovoltaic (PV) based system cause reduced extraction of PV power and thus adversely impact the performance of PV based system; especially in case of stand-alone PV systems. In this paper four different configurations namely single stage PV system, centralized DC-DC converter based PV system, PV panel level Distributed maximum power point tracking (DMPPT) based PV system and PV module level DMPPT based PV system are considered for water pumping a","Energy, Sustainability & Climate Change",Next-Generation Photovoltaic Materials,0.75,haiku,"Energy, Sustainability & Climate Change",Grid Integration & Smart Microgrids,Y,N,,,
69deca384e2d2a5b77ed7e2f,Ultrafast Charge Transfer and Trapping Dynamics in a Colloidal Mixture of Similarly Charged CdTe Quantum Dots and Silver Nanoparticles,"The interaction between colloidal CdTe quantum dots (QDs) and silver nanoparticles (Ag NPs), both in their negatively charged state, is studied to determine the importance of surface charge and epitaxial coupling of the two components to achieve the potential activity of the metal-semiconductor nanocomposites. An unexpected strong interaction between the two similarly charged species is evident from dramatic quenching of the excitonic emission of the QDs by the Ag NPs. Direct evidence of electro",Advanced Materials & Devices,Polymer Nanocomposites & Blends,0.75,haiku,Advanced Materials & Devices,Rare-Earth Doped Luminescent Materials,Y,N,,,
6a25fe522b6042b763867403,Hybridization energy oscillations of Majorana and Andreev bound states in semiconductor-superconductor nanowire heterostructures,"The recent experimental observations of decaying energy oscillations in semiconductor-superconductor Majorana nanowires is in contrast with the typical expectations based on the presence of Majorana zero modes localized at the ends of the system, when the amplitude of the hybridization energy oscillations is predicted to increase with the applied magnetic field. These observations have been theoretically justified recently by considering a position-dependent, step-like spin-orbit coupling near e",Quantum Technologies & Semiconductor Technology,Spintronics & Magnetic Devices,0.75,haiku,Quantum Technologies & Semiconductor Technology,Semiconductor Photovoltaic & Photodetection Devices,Y,N,,,
69deca284e2d2a5b77ed5d6c,Assessment of Interaction Between Cardio-Respiratory Signals Using Directed Coherence on Healthy Subjects During Postural Change,"Purpose: To detect and quantify the directional interaction changes between cardio-respiratory system during postural change. Method: Traditional frequency domain analysis based on power spectrum and coherence are insufficient to quantify nonlinear structures and complexity of physiological subsystems. Recently, Granger causality is found as preferable method for evaluation of causality i.e., directional interaction. Frequency domain Granger causality based on directed coherence has been used in",Healthcare & MedTech,Clinical Diagnostics & Biomarkers,0.72,haiku,Healthcare & MedTech,Neuroscience & Neurophysiology,Y,N,,,
69deca504e2d2a5b77edb4b8,"Structural, magnetic, and superconducting properties of pulsed-laser-deposition-grown la 1.85 Sr 0.15 CuO 4 / la 2 / 3 Ca 1 / 3 MnO 3 superlattices on (001)-oriented LaSrAlO 4 substrates","Epitaxial La1.85Sr0.15CuO4/La2/3Ca1/3MnO3 (LSCO/LCMO) superlattices on (001)-oriented LaSrAlO4 substrates have been grown with pulsed laser deposition technique. Their structural, magnetic, and superconducting properties have been determined with in situ reflection high-energy electron diffraction, x-ray diffraction, specular neutron reflectometry, scanning transmission electron microscopy, electric transport, and magnetization measurements. We find that despite the large mismatch between the in",Quantum Technologies & Semiconductor Technology,Spintronics & Magnetic Devices,0.72,haiku,Quantum Technologies & Semiconductor Technology,Wide Bandgap Semiconductors & Devices,Y,N,,,
69deca0c4e2d2a5b77ed19ae,Exploration of UV absorbing functional materials and their advanced applications,"Nowadays, concern over skin cancer has been growing more and more, especially in tropical countries where the incidence of UVA/B radiation is higher. The correct use of sunscreen is the most efficient way to prevent the development of this disease. The ingredients of sunscreen can be organic and/or inorganic sun filters. Inorganic filters present some advantages over organic filters, such as photo stability, nonirritability, and broad-spectrum protection. Nevertheless, inorganic filters have a w",Advanced Materials & Devices,Bio-based Materials & Polymers,0.72,haiku,Advanced Materials & Devices,Rare-Earth Doped Luminescent Materials,Y,N,,,
69dec9fe4e2d2a5b77ecf71c,A rapid method for fungal assisted algal flocculation: Critical parameters & mechanism insights,"A method for rapid flocculation of Chlorella pyrenoidosa cells with Aspergillus fumigatus pellets was developed. The process could flocculate 99% algal cells within 3 h. In order to identify the critical parameters, apart from the flocculation conditions (different fungal-algal ratios, flocculation temperature and agitation), the effect of cultivation time and various pretreatments (autoclaving, Cycloheximide exposure) for A. fumigatus was also investigated. Results revealed that 24 h old fungal","Energy, Sustainability & Climate Change",Environmental Assessment & Land Use Management,0.72,haiku,"Energy, Sustainability & Climate Change",Biomass & Biofuel Technologies,Y,N,,,
69deca474e2d2a5b77eda10a,Quantifying Packing Efficiency in Molecular Crystals: A Close Packing Index Based on Hirshfeld Surfaces,"The degree of close packing in molecular crystals can dictate their mechanical, chemical, and photophysical properties. Here, we present a simple descriptor of close packing in molecular crystals, based on Spackman’s intermolecular boundary surfaces, known as Hirshfeld surfaces. In comparison to Kitaigorodskii’s packing index (KPI), the values of this close packing index (CP<inf>i</inf>) offer a more accurate description of packing efficiency and demonstrate stronger correlations with properties",Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,0.72,sonnet,Advanced Materials & Devices,Composite & Laminate Structures,Y,N,,,
69deca384e2d2a5b77ed7dc0,Observation of rf SQUID characteristics in YBCO bulk at 77 K,(No abstract available),Quantum Technologies & Semiconductor Technology,Quantum Photonics & Entanglement,0.72,haiku,Quantum Technologies & Semiconductor Technology,Spintronics & Magnetic Devices,Y,N,,,
